Merged_Location,lon,lat
"01/02/2022, Priceline
			Eaton Shopping Centre
			Cnr Eaton Dr & Recreation Dr, Western Australia",115.7163442,-33.3180716
"Leisurelife Centre (gym), Victoria Park
			Cnr Gloucester Street and Kent Street, Victoria Park, Western Australia",115.8993606,-31.984106
"Snap Fitness Canning Vale
			2/499 Nicholson Road, Canning Vale, Western Australia",115.933042,-32.0660589
"McDonalds, Collie
			Throssell Street, Collie, Western Australia",116.154216,-33.359983
"Chuck's Cantina
			125 St Georges Terrace, Perth, Western Australia",115.8554486,-31.9546119
"Jetts Gym Applecross
			886 Canning Highway, Applecross, Western Australia",115.8470535,-32.013298
"Cockburn ARC Basketball Courts
			31 Veterans Parade, Cockburn Central, Western Australia",115.850766,-32.1255031
"The Coffee Club (Westfield Carousel)
			1382 Albany Highway, Cannington, Western Australia",115.9390111,-32.020723
"Uncle Billy's Chinese Restaurant
			Shop 9, 66 Roe Street, Northbridge, Western Australia",115.8573675,-31.9491251
"Amplifier Bar Murray Street
			393 Murray Street, Perth, Western Australia",115.8541961,-31.951526
"Magnet House
			393 Murray Street, Perth, Western Australia",115.8540162,-31.9514937
"Tribute Coffee & Kitchen
			19 Tribute Street West, Shelley, Western Australia",-117.9198334,33.7603992
"Aberdeen Hotel Northbridge
			Bollywood Bash event
			90 Aberdeen Street, Northbridge, Western Australia",115.8591208,-31.9464615
"Ciao Italia
			273 Mill Point Road, South Perth, Western Australia",115.8688829,-31.9777672
"Cedar Cafe Cannington
			197 Sevenoaks Street, Cannington, Western Australia",115.9385635,-32.0077447
"Bailey Brewing Company
			9861 West Swan Road, Henley Brook, Western Australia",116.0002582,-31.812648
"The Karalee on Preston
			25 Preston Street, Como, Western Australia",115.8588563,-31.9939818
"Eaton Shopping Centre
			Cnr Eaton Dr & Recreation Dr, Eaton, Western Australia",-79.3806994,43.6544382
"Noodler's 
			Eaton Shopping Centre
			Cnr Eaton Dr & Recreation Dr, Eaton, Western Australia",115.7161742,-33.3194206
"Coles
			Eaton Shopping Centre
			Cnr Eaton Dr & Recreation Dr, Eaton, Western Australia",115.7152024,-33.3189382
"Liberty Dongara
			30217 Brand Hwy, Dongara, Western Australia",114.9563777,-29.2530034
"Oakover Grounds
			14 Yukich Close, Middle Swan, Western Australia",116.007187,-31.845108
"BP Southern Cross
			Great Eastern Hwy, Southern Cross, Western Australia",119.3314216,-31.2317175
"Woolworths Waikiki,
			7 Read Street, Waikiki, Western Australia",115.7530229,-32.313777
"Coles Secret Harbour, Warnbro Sound Avenue, Secret Harbour, Western Australia",115.7596058,-32.4096741
