Date_Time,Location,Suburb,Date_updated,Health_advice,Health_Advice_Short,Health_Advice_Severity,Marker_Color,lon,lat
"Thursday 27/01/2022
			7:00am to 1:00pm","Chuck's Cantina
			125 St Georges Terrace",Perth,2022-02-02,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8554486,-31.9546119
"Thursday 27/01/2022
			5:00am to 6:00am","Jetts Gym Applecross
			886 Canning Highway",Applecross,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8470535,-32.013298
Wednesday 26/01/2022 9:00am to 10:00am,"Jetts Gym Applecross
			886 Canning Highway",Applecross,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8470535,-32.013298
"Sunday 30/01/2022
			10:00am to 12:30pm","Cockburn ARC Basketball Courts
			31 Veterans Parade",Cockburn Central,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.850766,-32.1255031
"Friday 28/01/2022
			5:00am to 6:00am","Jetts Gym Applecross
			886 Canning Highway",Applecross,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8470535,-32.013298
"Saturday 29/01/2022
			3:30pm to 4:00 pm","The Coffee Club (Westfield Carousel)
			1382 Albany Highway",Cannington,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.9390111,-32.020723
"Saturday 29/01/2022
			3:30am to 4:24am","Uncle Billy's Chinese Restaurant
			Shop 9, 66 Roe Street",Northbridge,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8573675,-31.9491251
"Saturday 29/01/2022
			2:30am to 3:30am","Amplifier Bar Murray Street
			393 Murray Street",Perth,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8541961,-31.951526
"Saturday 29/01/2022
			2:30am to 3:30am","Magnet House
			393 Murray Street",Perth,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8540162,-31.9514937
"Saturday 29/01/2022
			12:15pm to 1:15pm","Tribute Coffee & Kitchen
			19 Tribute Street West",Shelley,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.716479892588,-33.318969070892
